pipe,gen,mut_ratio,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,mean_imp,no_sel,no_samp,quant_scale",20,0.004,88697,0.051935575615723,1.2701499014997693,0.0198422986209032,0.0321221534536153,0.1219423808660986,0.028033640368442,0.3445854712395356,0.2170967741935481,0.1770643784282201
"loo_enc,most_freq_imp,no_sel,no_samp,quant_scale",20,0.004,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,mean_imp,no_samp,no_sel,quant_scale",20,0.004,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"count_enc,most_freq_imp,no_sel,quant_scale,no_samp",20,0.004,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"count_enc,most_freq_imp,no_samp,no_sel,quant_scale",20,0.004,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",20,0.004,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,median_imp,no_scale,under_samp,k_best_sel",0,0.005,88697,0.1817331823764008,1.5892842742693338,0.1525337680291121,0.2988427246339438,0.311166621658115,0.280851493950103,0.3801858290575209,0.3342466761740592,0.311166621658115
"count_enc,median_imp,norm_scale,over_samp,no_sel",0,0.005,88697,0.5854234338361292,-1.0,0.338727197490789,0.8389748364399857,0.4252747955010224,0.4333683636361686,0.3645961145194273,0.40096639103364,0.4252747955010224
"count_enc,mean_imp,no_scale,no_samp,no_sel",0,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"count_enc,most_freq_imp,no_sel,under_samp,min_max_scale",0,0.005,88697,0.1114270317887993,1.317169159794614,0.0363859455127191,0.0952668404133239,0.1356058432352146,0.0723026433817382,0.2095935727788279,0.1464377675835542,0.1356058432352146
"count_enc,mean_imp,no_sel,quant_scale,no_samp",0,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"loo_enc,median_imp,over_samp,no_sel,no_scale",0,0.005,88697,0.1764612276831738,1.5608061593483082,0.1469542297902821,0.2847683921610614,0.2977355998636674,0.2667102145828831,0.3641722051806406,0.3189242777676829,0.2977355998636674
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0,0.005,88697,0.1954997457465563,1.556608339553447,0.2015525503538222,0.3375448658779519,0.3318411298568507,0.3256471193746544,0.3496080436264486,0.3378470053353885,0.3318411298568507
"onehot_enc,mean_imp,no_sel,max_abs_scale,no_samp",0,0.005,88697,0.1238236578736964,2.320555099893224,0.1628607842352015,0.2458280674974148,0.2957057437941656,0.3862104717470193,0.6802592492573589,0.579545454545454,0.3909135373757817
"target_enc,most_freq_imp,norm_scale,over_samp,no_sel",0,0.005,88697,0.4132434976851056,-1.0,0.2216193729908531,0.2241568241415261,0.1128014229720517,0.0029045670824446,0.2233235344239944,0.1268269883097713,0.1128014229720517
"ordinal_enc,mean_imp,no_samp,k_best_sel,min_max_scale",0,0.005,88697,0.1309789319871317,2.6183739881128463,0.1780909884825861,0.2664192273196568,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.3987988147195824
"loo_enc,median_imp,no_samp,no_sel,no_scale",1,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,mean_imp,no_sel,quant_scale,over_samp",1,0.005,88697,0.1087765644118011,1.3179826859437254,0.0116316469996146,0.10174302872573,0.1832928595773687,0.1184138897362998,0.2682898773006134,0.2003199478576376,0.1832928595773687
"count_enc,mean_imp,no_scale,under_samp,no_sel",1,0.005,88697,0.1906058978084563,1.539470394968395,0.1953259972437738,0.326996204732296,0.3293317917904401,0.3224211289083049,0.3487586078854981,0.3358562523452581,0.3293317917904401
"count_enc,most_freq_imp,no_sel,no_samp,min_max_scale",1,0.005,88697,0.0762660179438699,1.370462667315134,0.0469447202075704,0.0538646536924525,0.0884218155462945,0.0170031880977683,0.2506076154469348,0.1495556236592091,0.1285757913635492
"count_enc,most_freq_imp,no_sel,under_samp,min_max_scale",1,0.005,88697,0.1114270317887993,1.317169159794614,0.0363859455127191,0.0952668404133239,0.1356058432352146,0.0723026433817382,0.2095935727788279,0.1464377675835542,0.1356058432352146
"count_enc,mean_imp,no_scale,no_samp,no_sel",1,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"onehot_enc,mean_imp,no_sel,max_abs_scale,no_samp",1,0.005,88697,0.1238236578736964,2.320555099893224,0.1628607842352015,0.2458280674974148,0.2957057437941656,0.3862104717470193,0.6802592492573589,0.579545454545454,0.3909135373757817
"loo_enc,median_imp,over_samp,no_sel,no_scale",1,0.005,88697,0.1764612276831738,1.5608061593483082,0.1469542297902821,0.2847683921610614,0.2977355998636674,0.2667102145828831,0.3641722051806406,0.3189242777676829,0.2977355998636674
"count_enc,mean_imp,no_sel,quant_scale,no_samp",1,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"count_enc,median_imp,no_scale,under_samp,k_best_sel",1,0.005,88697,0.1817331823764008,1.5892842742693338,0.1525337680291121,0.2988427246339438,0.311166621658115,0.280851493950103,0.3801858290575209,0.3342466761740592,0.311166621658115
"loo_enc,median_imp,no_sel,no_scale,no_samp",2,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,mean_imp,no_samp,no_sel,quant_scale",2,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"count_enc,most_freq_imp,no_sel,no_samp,quant_scale",2,0.005,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"count_enc,mean_imp,no_sel,no_scale,no_samp",2,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"loo_enc,median_imp,no_samp,no_sel,quant_scale",2,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"loo_enc,median_imp,no_samp,no_sel,no_scale",2,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,most_freq_imp,no_sel,no_samp,min_max_scale",2,0.005,88697,0.0762660179438699,1.370462667315134,0.0469447202075704,0.0538646536924525,0.0884218155462945,0.0170031880977683,0.2506076154469348,0.1495556236592091,0.1285757913635492
"count_enc,most_freq_imp,no_sel,under_samp,min_max_scale",2,0.005,88697,0.1114270317887993,1.317169159794614,0.0363859455127191,0.0952668404133239,0.1356058432352146,0.0723026433817382,0.2095935727788279,0.1464377675835542,0.1356058432352146
"count_enc,mean_imp,no_sel,min_max_scale,under_samp",2,0.005,88697,0.1957321360633116,1.5604508485839508,0.2036747697992655,0.3400790044346163,0.3357180833108291,0.3290423250327629,0.3552187415608965,0.3423967712401005,0.335718083310829
"count_enc,mean_imp,no_sel,quant_scale,no_samp",2,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"loo_enc,most_freq_imp,no_sel,no_samp,quant_scale",3,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,median_imp,no_samp,no_sel,quant_scale",3,0.005,88697,0.1083312897501118,1.8322109944988505,0.1177729861739045,0.1831152906576605,0.2435223772422539,0.2712933753943218,0.5633270321361057,0.4539007092198586,0.3226996442207454
"loo_enc,median_imp,no_sel,quant_scale,no_samp",3,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"count_enc,mean_imp,no_samp,no_sel,no_scale",3,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"count_enc,mean_imp,no_sel,no_scale,no_samp",3,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"count_enc,most_freq_imp,no_sel,no_samp,quant_scale",3,0.005,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"loo_enc,median_imp,no_samp,no_sel,quant_scale",3,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"count_enc,most_freq_imp,no_sel,under_samp,min_max_scale",3,0.005,88697,0.1114270317887993,1.317169159794614,0.0363859455127191,0.0952668404133239,0.1356058432352146,0.0723026433817382,0.2095935727788279,0.1464377675835542,0.1356058432352146
"count_enc,mean_imp,no_samp,no_sel,quant_scale",3,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"loo_enc,median_imp,no_sel,no_scale,no_samp",3,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,mean_imp,no_samp,no_sel,no_scale",4,0.005,88697,0.1228762575292136,2.212252070404488,0.1634706247281889,0.2434111232606209,0.292534879507157,0.3818544366899307,0.6651363759114232,0.5655981783149421,0.3847835935453503
"loo_enc,median_imp,no_sel,no_scale,no_samp",4,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,median_imp,no_samp,no_sel,quant_scale",4,0.005,88697,0.1083312897501118,1.8322109944988505,0.1177729861739045,0.1831152906576605,0.2435223772422539,0.2712933753943218,0.5633270321361057,0.4539007092198586,0.3226996442207454
"loo_enc,most_freq_imp,no_sel,no_samp,quant_scale",4,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",4,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,median_imp,no_sel,no_samp,quant_scale",4,0.005,88697,0.1083312897501118,1.8322109944988505,0.1177729861739045,0.1831152906576605,0.2435223772422539,0.2712933753943218,0.5633270321361057,0.4539007092198586,0.3226996442207454
"loo_enc,median_imp,no_sel,quant_scale,no_samp",4,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"count_enc,mean_imp,no_samp,no_sel,quant_scale",4,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"loo_enc,median_imp,no_sel,no_scale,under_samp",4,0.005,88697,0.1752510020707762,1.5563667256045588,0.1453599308185844,0.2819762676099736,0.2981007797731568,0.2676350299046608,0.3635987712665405,0.3190018445547031,0.2981007797731568
"loo_enc,median_imp,no_samp,no_sel,quant_scale",4,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"loo_enc,median_imp,no_sel,no_scale,no_samp",5,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
"count_enc,median_imp,no_samp,no_sel,quant_scale",5,0.005,88697,0.1083312897501118,1.8322109944988505,0.1177729861739045,0.1831152906576605,0.2435223772422539,0.2712933753943218,0.5633270321361057,0.4539007092198586,0.3226996442207454
"loo_enc,mean_imp,no_samp,no_sel,quant_scale",5,0.005,88697,0.051935575615723,1.2701499014997693,0.0198422986209032,0.0321221534536153,0.1219423808660986,0.028033640368442,0.3445854712395356,0.2170967741935481,0.1770643784282201
"count_enc,median_imp,no_sel,no_scale,no_samp",5,0.005,88697,0.097797936295344,1.7961460997348022,0.0965813803332062,0.1583694443031707,0.2479615872440654,0.2657613967022311,0.5911423170402373,0.4747614917606242,0.3329263050777197
"loo_enc,median_imp,no_sel,quant_scale,no_samp",5,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"count_enc,most_freq_imp,no_samp,no_sel,quant_scale",5,0.005,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"loo_enc,most_freq_imp,no_sel,no_samp,quant_scale",5,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"loo_enc,median_imp,no_samp,no_sel,quant_scale",5,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"count_enc,mean_imp,no_samp,no_sel,quant_scale",5,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",5,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"loo_enc,mean_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.051935575615723,1.2701499014997693,0.0198422986209032,0.0321221534536153,0.1219423808660986,0.028033640368442,0.3445854712395356,0.2170967741935481,0.1770643784282201
"loo_enc,median_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.109071768224288,1.8481385154385603,0.1194570733417501,0.1856678103048812,0.2453342996919727,0.2745808790212957,0.5676478530920874,0.4582064297800341,0.3251327200020764
"loo_enc,most_freq_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,mean_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.0515351542264444,1.2677023385531498,0.0196891359164434,0.0314532296861484,0.1224859576010146,0.0292350820985181,0.3453956251687818,0.2180645161290324,0.1776739543703485
"count_enc,median_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.1083312897501118,1.8322109944988505,0.1177729861739045,0.1831152906576605,0.2435223772422539,0.2712933753943218,0.5633270321361057,0.4539007092198586,0.3226996442207454
"count_enc,most_freq_imp,no_samp,no_sel,quant_scale",6,0.005,88697,0.0746361817255775,1.420296374377956,0.055454735151473,0.0692533125960635,0.1308208008697226,0.0480192076830731,0.35754793410748,0.2328281199613027,0.1869539261539449
"loo_enc,most_freq_imp,no_sel,no_samp,quant_scale",6,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",6,0.005,88697,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"count_enc,median_imp,no_sel,no_scale,no_samp",6,0.005,88697,0.097797936295344,1.7961460997348022,0.0965813803332062,0.1583694443031707,0.2479615872440654,0.2657613967022311,0.5911423170402373,0.4747614917606242,0.3329263050777197
"loo_enc,median_imp,no_sel,no_scale,no_samp",6,0.005,88697,0.0886362020404876,1.6963230851658044,0.0766087528972692,0.1325624239815701,0.241710454792535,0.2469437652811734,0.5841209829867678,0.4641614474599861,0.3264844860400775
